Name,Description,Price,CL,Strength,URL
"Figurine of Wondrous Power, Bronze Griffon","When animated, a bronze griffon acts in all ways like a normal griffon under the command of its possessor. The item can be used twice per week for up to 6 hours per use. When 6 hours have passed or when the command word is spoken, the bronze griffon once again becomes a tiny statuette.","10,000 ",?,?,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/e-g/figurines-of-wondrous-power/bronze-griffon
"Figurine of Wondrous Power, Ebony Fly","When animated, an ebony fly is the size of a pony and has all the statistics of a pegasus but can make no attacks. The item can be used three times per week for up to 12 hours per use. When 12 hours have passed or when the command word is spoken, the ebony fly again becomes a tiny statuette.","10,000 ",?,?,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/e-g/figurines-of-wondrous-power/ebony-fly
"Amulet, Frost Fist","Shaped like a fist, this iron amulet is surrounded by a frigid fog. On command, this amulet causes the wearer’s hands to become encased in a layer of freezing iron. The wearer is protected from the frigid cold and can make savage blows with his hands. Unarmed strikes and natural attacks the wearer makes with hands gain the frost weapon special ability and are treated as cold iron for the purpose of bypassing damage reduction. The wearer’s hands become rigid while using this amulet and cannot be use to hold or manipulate objects (unless that manipulation could be accomplished with a club and is not damaged by cold). The transformation can be ended as a swift action.","10,000 ",5,Faint,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/a-b/amulet-frost-fist
"Banner, Commander's","A commander's banner is a cloth flag or standard (typically 2 feet wide and 4 feet long) meant to be carried and displayed on a lance, polearm, frame, or staff. It has no effect unless it is mounted properly, and a wielder is carrying the object bearing it. It normally depicts the insignia or heraldic symbol of a particular noble. A character with the tactician class feature carrying a commander's banner can use her tactician ability one additional time per day, she can use it to grant the teamwork feat granted by the tactician ability to allies within 60 feet (rather than 30 feet), and allies can use the granted feat for 2 rounds longer than normal.","10,000 ",5,Faint,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/a-b/banner-commander-s
"Boots, Caltrop","These knee-high black leather boots have prominent and irregularly shaped heels which seem to bulge from the rest of the shoe. As a swift action, the boots’ wearer can cause the boots to let loose a spray of caltrops through the back of the heels as he moves during the remainder of his round. These caltrops fill each square the wearer moves into during that round. Any creature, including the wearer, occupying or who steps into one of these squares suffers the normal effects of coming into contact with caltrops. Once produced, these caltrops remain in existence until removed from their square, at which point they immediately disappear. The shoes can be used for 10 rounds per day. These rounds need not be consecutive.","10,000 ",5,Faint,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/a-b/boots-caltrop
"Boots, Tremor","These brown leather boots have a reinforced toe of steel with grooves along the soles, crafted to help the wearer pick up vibrations from the surrounding environment. These boots grant the wearer tremorsense 5 feet as long as he is standing on solid ground.","10,000 ",5,Faint,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/a-b/boots-tremor
"Clasp, Ancestral","Favored by half-elves seeking to distill their heritage into a combat edge, an ancestral clasp resembles a metal tube, open on both sides and covered in delicate elven calligraphy. Whenever a half-elf fits an ancestral clasp to the pommel, grip, or haft of a longbow, longsword, rapier, or shortbow, the character is treated as though she were proficient with that weapon. In addition, when an ancestral clasp is fitted to any weapon with the word “elven” in the title, the character treats the weapon as if it were a martial weapon, mirroring the Weapon Familiarity elven racial trait. A half-elf who already is proficient with one of the above weapons adorned with an ancestral clasp receives a +1 insight bonus on attack rolls with that weapon. Although this ability stems from the item's magic, the affected weapon is treated as non-magical for the purpose of overcoming damage reduction. Affixing and removing an ancestral clasp is a standard action.","10,000 ",5,Faint,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/c-d/clasp-ancestral
Cloak of the Dusk Walker,"This dark, velvety cloak billows with a dramatic flourish in its wearer’s wake. The cloak grants its wearer low-light vision. In addition, once per day, on command, the wearer can surround herself with darkness, as the darkness spell. While this darkness is active, the cloak also grants the wearer darkvision 60 feet as well as low-light vision.","10,000 ",3,Faint,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/c-d/cloak-of-the-dusk-walker
"Cloak, Stone (Minor)","This mottled gray cloak looks like granite or some other light gray stone. The wearer can pull a minor stone cloak tight around herself and freeze in place as a move action, which causes the cloak to harden like the stone it resembles. When she does this, the wearer can take no actions other than free actions and is denied her Dexterity bonus to AC but gains DR 5/adamantine. She also gains a +5 circumstance bonus to Stealth checks while protected in this manner. This effect can be dismissed as a free action.","10,000 ",5,Faint,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/c-d/cloak
Doomharp,"Made from bone and sun-dried sinew, this masterwork harp produces a vague sense of unease in anyone near it. If the owner of this item has the bardic performance class feature he can use it to perform a dirge of doom even if he is not of sufficient level to normally have access to that ability. A bard who can use dirge of doom and who plays the harp as part of his performance increases the effective radius to 60 feet.","10,000 ",4,Faint,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/h-l/harp-doomharp
Drum of Advance and Retreat,"When played, this sturdy snare drum increases the run speed of allied creatures within 120 feet as if they had the Run feat. Activating the drum is a standard action that requires a DC 20 Perform (percussion) check; maintaining the playing is a free action if the player is running. If the bearer stops playing the drum, the enhanced running speed ends. The drum may be used for up to 1 hour per day. This duration does not need to be consecutive, but must be used in 10-minute increments.","10,000 ",1,Faint,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/c-d/drum-of-advance-and-retreat
Dueling Cuffs,"These tight-fitting mithral bracers grant the wearer a +1 deflection bonus to AC. This bonus increases to +2 if the wearer is wielding one or more weapons that benefit from the Weapon Finesse feat. In a duel, the wielder doesn't take the normal –5 penalty when using the dueling parry action. In addition, the wielder can attempt to deflect ranged attacks from firearms with a dueling parry, but takes a –5 penalty on such attempts.","10,000 ",3,Faint,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/c-d/dueling-cuffs
"Fan, Black Feather","This elaborate fan is made with a dozen black feathers set into a metal handle embossed with a stylized crest. The bearer can use it to create a gust of wind, whispering wind, or wind wall. The fan's effects can be used 3 times per day, in any combination.","10,000 ",5,Faint,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/e-g/fan-black-feather
Flame of Rage,"This ancient diadem is crafted in the shape of an enraged face with an enormous ruby in the center. The gem allows its wearer to channel her rage into pure flame. While under the effects of rage, as a standard action the wearer can expend 1 round of rage or raging song to cause the ruby to release a beam of fire like a miniature hellfire flume. If the wearer succeeds at a ranged touch attack against a creature or object within 30 feet, the beam deals 2d6 points of fire damage to that target. If the wearer instead expends 3 rounds of rage, bloodrage, or raging song, the beam becomes a 60-foot line instead, dealing 5d6 points of fire damage to all creatures and objects along that line (Reflex DC 14 negates).","10,000 ",3,Faint,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/e-g/flame-of-rage
Gloves of Shaping,"These soft leather gloves are constantly encrusted with clay between the fingers and allow the reshaping of otherwise durable materials. The wearer can shape objects with hardness 8 or lower (stone, wood, leather, and so on) as if it were soft clay. While it’s possible to rapidly make crude shapes (shaping roughly 1 cubic foot of material per round), creating fine detail or moving parts requires additional time and an appropriate Craft check, at the GM’s discretion. Materials with more than 8 points of hardness are still affected, though not so dramatically. The wearer may treat these materials as having half as much hardness when attempting to damage or reshape them. For instance, a steel bar normally has 10 points of hardness, but the wearer of the gloves may treat it as having hardness 5, and shape it with woodworking tools. The gloves only affect shaping materials with the wearer’s hands or handheld tools, and only when the wearer desires to do so.","10,000 ",5,Faint,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/e-g/gloves-of-shaping
"Gloves, Perilous","These black gloves glow slightly during combat. Once per day, if the wearer's unarmed attack threatens a critical hit, the critical confirmation roll gains a +2 bonus. Regardless of whether the critical is confirmed, the attack does an additional 1d8 points of damage.","10,000 ",1,Faint,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/e-g/gloves-perilous
"Harp, Doomharp","Made from bone and sun-dried sinew, this masterwork harp produces a vague sense of unease in anyone near it. If the owner of this item has the bardic performance class feature he can use it to perform a dirge of doom even if he is not of sufficient level to normally have access to that ability. A bard who can use dirge of doom and who plays the harp as part of his performance increases the effective radius to 60 feet.","10,000 ",4,Faint,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/h-l/harp-doomharp
Mask of a Thousand Tomes,"The random snippets of script that write across the surface of this parchment-colored eyeless mask hint at the knowledge of the many tomes stored within. The mask grants its wearer a +10 competence bonus on all Knowledge skill checks, but the wearer is blinded while wearing the mask. The mask must be worn for 10 minutes before the wearer gains its bonus.","10,000 ",5,Faint,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/m-p/mask-of-a-thousand-tomes
Ornament of Healing Light,"This palm-sized holy symbol is composed of tiny pieces of stained glass held in a gold frame. The exact symbol is determined upon the item's creation. As a free action, the creature holding the ornament can project the image of the holy symbol upon any creature or surface within 15 feet, similar to using a shadow puppet and lamp. This light is not bright enough to illuminate an area. If the bearer is a paladin, she may use her lay on hands. Ability on a creature touched by the symbol's light (effectively increasing her lay on hands range from touch to 15 feet).","10,000 ",5,Faint,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/m-p/ornament-of-healing-light
Pauldrons of the Bull,"These steel pauldrons are engraved with images of charging bulls. When the wearer makes a bull rush combat maneuver, she can make the check twice and take the better result. Furthermore, they grant a +2 enhancement bonus to CMD against bull rushes.","10,000 ",5,Faint,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/m-p/pauldrons-of-the-bull
