Name,Description,Price,CL,Strength,URL
Banner of Restful Nights,"This magical standard appears to be a rather plain banner of nondescript canvas cloth, but on command it takes on the device or pattern chosen by the person using it. Once per day when the banner is planted firmly in the ground, it creates a calm and comfortable environment in a 20-foot radius from the banner, granting those within the area the benefits of endure elements. This area of calm and comfort can even resist magical weather effects, but only if those effects are of a caster level lower than that of the banner. Also, the banner wards the area of calm and comfort as if by an alarm spell (audible alarm). The creature that plants the banner into the ground chooses the password upon doing so. The area created by the banner lasts for 8 hours or until the banner is taken out of the ground.","5,040 ",9,Moderate,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/a-b/banner-of-restful-nights
Headband of Ponderous Recollection,"This black leather headband has two small amber gemstones set so they rest on the wearer’s forehead. The headband grants the wearer a +2 enhancement bonus to Intelligence. Treat this as a temporary ability bonus for the first 24 hours the headband is worn. It also grants skill ranks as a headband of vast intelligence, but always grants ranks in a Knowledge skill. As a swift action three times per day, the wearer can call upon the headband to reveal the abilities and weaknesses of a creature within line of sight. The headband fills the wearer’s mind with information as though the wearer had made a Knowledge check with a natural roll of a 5, adding her bonuses to the check as normal. At the start of her next turn, the wearer receives additional information as though she had made the check with a natural roll of 10. At the start of her turn after that, the wearer receives a final piece of information, treating her natural roll as 15.","5,100 ",8,Moderate,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/h-l/headband-of-ponderous-recollection
Helm of Comprehend Languages and Read Magic,"Appearing as a normal helmet, a helm of comprehend languages and read magic grants its wearer the ability to understand the spoken words of any creature and to read text in any language and any magical writing. The wearer gains a +5 competence bonus on Linguistics checks to understand messages written in incomplete, archaic, or exotic forms. Note that understanding a magical text does not necessarily imply ability to use its spells.","5,200 ",4,Faint,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/h-l/helm-of-comprehend-languages-and-read-magic
Vest of Escape,"This simple silk vest looks nondescript, but is actually studded with numerous secret pockets sewn into its lining. Hidden inside these are magic lockpicks that provide a +4 competence bonus on Disable Device checks. The vest also grants its wearer a +6 competence bonus on Escape Artist checks.","5,200 ",4,Faint,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/r-z/vest-of-escape
"Belt, Plague Rat (Lesser)","This belt grants its wearer a +2 enhancement bonus to Constitution. Treat this as a temporary ability bonus for the first 24 hours the belt is worn. Also, as an immediate action three times per day, the wearer can call upon the belt to reroll a saving throw made to resist a disease or poison. The wearer must use the second roll, even if it is worse.","5,200 ",8,Moderate,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/a-b/belt-plague-rat
Assassin's Sight (Lesser),"This black telescopic sight is made of lusterless metal and features a thick glass lens. It can be mounted on the stock of a light or heavy crossbow, but not a hand crossbow. An assassin's sight allows the wielder to make ranged sneak attacks from greater distances than normal. This sight has two settings: 0–30 feet and 30–60 feet. A character using a crossbow equipped with an assassin's sight can make sneak attacks against foes within the selected range. For example, by setting the range to 30–60 feet, a character can make sneak attacks against creatures only if they are between 30 and 60 feet of the wielder; attacks against targets closer than 30 feet or farther than 60 feet would not count as sneak attacks, even if they met all the other requirements for making a sneak attack. Setting the range on an assassin's sight is a full-round action that provokes attacks of opportunity.","5,250 ",5,Faint,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/a-b/assassin-s-sight
Tankard of the Drunken Hero,"*Note* This item is associated with a specific deity. This simple battered tankard is usually made of copper or tin. Its handle is not attached at the bottom so the bearer can hook it on his belt for easy carrying. The bearer gains a +1 resistance bonus on Fortitude and Will saves. Once per day, the bearer can fill the tankard with wine, ale, or other alcohol and drink from it to gain the benefits of a remove fear spell. If the associated deity is the bearer's patron, the tankard counts as a holy symbol. Once per day, the bearer can drink an alcoholic beverage from the tankard to gain the benefits of heroism. Once per day, the tankard automatically unties ropes that bind the bearer or unlocks locks that hinder him. This occurs about 5 minutes after the tying or unlocking and affects only bindings directly on the bearer's person (for example, it won't unlock a door to the bearer's prison cell, but will unlock the bearer's manacles). This power is subtle enough that it is unnoticeable unless someone checks the bindings to make sure they are secure—ropes loosen but still appear to be tightly bound, manacles unlock and loosen but do not automatically fall off. The tankard can untie or unlock only bindings with an Escape Artist or Disable Device DC of 25 or lower, though more powerful tankards may exist.","5,300 ",3,Faint,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/r-z/tankard-of-the-drunken-hero
"Bottle, Eversmoking","This metal urn is identical in appearance to an efreeti bottle, except that it does nothing but smoke. The amount of smoke is great if the stopper is pulled out, pouring from the bottle and totally obscuring vision across a 50-foot spread in 1 round. If the bottle is left unstoppered, the smoke billows out another 10 feet per round until it has covered a 100-foot radius. This area remains smoke-filled until the eversmoking bottle is stoppered. The bottle must be resealed by a command word, after which the smoke dissipates normally. a moderate wind (11+ mph) disperses the smoke in 4 rounds; a strong wind (21+ mph) disperses the smoke in 1 round.","5,400 ",3,Faint,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/a-b/bottle-eversmoking
Field Scrivener's Desk,"Pathfinders are often called upon to take notes during their adventures, but sometimes finding a place where one can write in comfort while on a mission can be rather difficult. The field scrivener’s desk attempts to address this need. This magic desk can be folded up into a 3-inch-wide cube of lacquered wood for easy transport. Once per day, a single command causes this block of wood to unfold in the space of 1 round into an exquisite writing desk sized for a Small or Medium author, complete with four vials of ink, two writing quills, and 50 blank sheets of paper. The desk creates new supplies of ink, quills, and paper each time it is unfolded. Once the desk is unfolded, it creates a 20-foot radius hemisphere centered on the desk’s location—this effect is identical to that created by a tiny hut spell. Once activated, the desk’s tiny hut effect lasts for up to 10 hours or until the desk is folded up or moved more than a few inches. Of course, the effect also works to provide an ideal spot for a campsite, and in most parties a field scrivener’s desk is used solely for this effect.","5,400 ",5,Faint,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/e-g/field-scrivener-s-desk
Headband of Ki Focus,"This tied headband helps the wearer focus his ki more effectively. Whenever the wearer spends ki points to make an additional attack, that attack roll gains a +1 insight bonus (+2 if the wearer is using a ki focus weapon with that attack). Furthermore, the wearer of a headband of ki focus is immune to the ninja’s ki block trick or similar effects that block the wearer from using ki points.","5,400 ",1,Faint,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/h-l/headband-of-ki-focus
