Name,Description,Price,CL,Strength,URL
Firepowder,"This chalky yellow powder is usually kept in a finely woven canvas pouch. When you mix firepowder with fine sand, the resultant mixture quickly heats up until it combusts, creating a slow-burning flame that requires no additional fuel. Half a pound of firepowder takes 1 minute to mix, and the fire produced burns for 8 hours, equivalent to a standard campfire.",10 ,3,Faint,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/e-g/firepowder
"Ioun Stone, Dull Gray Stone","These are ioun stones that have been burned out or otherwise rendered all but powerless. They retain the ability to float and orbit, and are useful as the target of spells such as continual flame, daylight, and silence, allowing you to keep your hands free. They may be any shape (cabochon, disk, ellipsoid, and so on).",25 ,12,Faint,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/h-l/ioun-stones/dull-gray-stone-ioun-stone
Caltrop Bead (Iron),"The wielder may throw this small, dense iron sphere as a ranged touch attack (with a 10-foot range increment) or use it as a sling bullet. Upon striking a solid object, a caltrop bead explodes into caltrops in a 10-foot-radius burst. A creature directly hit by a caltrop bead takes 2d4 points of piercing damage, and adjacent creatures take 1d4 points of damage as the bead suddenly bursts. Caltrops created by a caltrop bead remain for 1 hour before disappearing.",40 ,7,Faint,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/c-d/caltrop-bead
"Dye, Truecolor","Truecolor dye produces vibrant colors, yet the actual color that registers varies according to the personality and temperment of the viewer—the viewer’s good, neutral, or evil alignment component determines the color he sees. Good viewers see a pleasing gold, while evil viewers see a rich blood red. A neutral viewer sees the dye as its actual color, a dull orange. A DC 25 Knowledge (geography or nature) check reveals the dye’s nature. A single vial of truecolor dye is enough to coat a square foot of material, or to ink 5 pages of text. Once applied, truecolor dye is permanent, although it can be washed off with universal solvent.",50 ,1,Faint,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/c-d/truecolor-dye
Sentinel Scorpion,"This crystalline hand-sized scorpion figurine is so full of cracks and occlusions that it looks as if it could fall apart at any minute. As a standard action you may throw the sentinel scorpion to the ground, causing it to explode into crystalline shards that cover the ground in a 10-foot burst. When any creature steps in the area, the shards make popping sounds as loud as the audible version of the alarm spell. A creature moving in the area of the shards has a 10% chance each round of stepping on the stinger. The stinger injects Large scorpion venom and is treated as a trap (Perception DC 20, Disable Device DC 20). After 2 hours, the shards decay into harmless powder.",50 ,1,Faint,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/r-z/sentinel-scorpion
Universal Solvent,"This substance has the unique property of being able to dissolve sovereign glue, tanglefoot bags, and all other adhesives. Applying the solvent is a standard action.",50 ,3,Faint,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/r-z/universal-solvent
Wound Paste,"Prized by slavers as an affordable way to stop a captive from bleeding to death, a dose of wound paste acts as a stabilize spell when slathered on a dying creature. Applying wound paste is a standard action that provokes an attack of opportunity. A pot of wound paste contains 5 doses.",50 ,1,Faint,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/r-z/wound-paste
"Feather Token, Anchor",Each of these items is a small feather that has a power to suit a special need. The kinds of tokens are described below. Each token is usable once. a particular feather token has no specific features to identify it unless its magic aura is viewed—even tokens with identical powers can be wildly different in appearance. // A token that creates an anchor that moors a craft in water so as to render it immobile for up to 1 day.,50 ,12,Strong,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/e-g/feather-token/anchor-token
"Ioun Stone, Iridescent Spindle (Cracked)",This stone grants a +4 competence bonus on Constitution checks to hold your breath.,50 ,12,Strong,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/h-l/ioun-stones/iridescent-spindle-ioun-stone
Ioun Torch,"This item is merely a burned out, dull gray ioun stone with a continual flame spell cast upon it. It retains the ability to float and orbit, and allows the bearer to carry light and still have his hands free. It may be in any crystalline shape common to ioun stones (ellipsoid, prism, sphere, and so on).",75 ,12,Strong,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/h-l/ioun-torch
Caltrop Bead (Cold Iron),"The wielder may throw this small, dense iron sphere as a ranged touch attack (with a 10-foot range increment) or use it as a sling bullet. Upon striking a solid object, a caltrop bead explodes into caltrops in a 10-foot-radius burst. A creature directly hit by a caltrop bead takes 2d4 points of piercing damage, and adjacent creatures take 1d4 points of damage as the bead suddenly bursts. Caltrops created by a caltrop bead remain for 1 hour before disappearing.",80 ,7,Faint,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/c-d/caltrop-bead
