Name,Description,Price,CL,Strength,URL
"Bracer, Spellsight","This item has an associated deity. Dozens of variants of this bracer exist, but they are usually leather, always ornately patterned, and bear a single spherical polished stone or gem (typically a carbuncle, olivine, or sard) mounted near the wrist. The wearer may use detect magic once per day. When this power is used, the spherical stone or gem appears to open like a human eye. The bracer also provides a +1 resistance bonus on Will saving throws. If the associated deity is the wearer's patron, once per day the wearer may use the bracer as if it were a lesser silent metamagic rod. The wearer may spontaneously convert prepared spells or use available spell slots to cast mage hand, even if it is not on your the wearer's spell list or the wearer does not know the spell. Using either of these powers causes the “eye” in the gem to open as described earlier.","2,100 ",5,Faint,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/a-b/bracer-spellsight
Keffiyeh of Cooling,"This keffiyeh remains bright white, no matter how many sandstorms it has been in. It protects you from hot environments as if you had endure elements cast upon you. It provides no magical protection against cold environments.","2,100 ",7,Faint,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/h-l/keffiyeh-of-cooling
"Mask, Holy Mask of the Living God","This iron mask bears a diamond-shaped ivory ornament on its forehead. This item has an associated deity. If you worship the associated deity, gain a +2 competence bonus on Heal and Intimidate checks. You may use cause fear and cure light wounds once per day.","2,100 ",1,Moderate,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/m-p/mask-holy-mask-of-the-living-god
"Gloves, Apprentice’s Cheating",These nondescript white gloves are a boon to minor spellcasters and fakes who are limited or lacking in magical ability or versatility. The wearer of these gloves can employ mage hand and prestidigitation at will.,"2,200 ",3,Faint,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/e-g/gloves-apprentice-s-cheating
"Gloves, Challenger’s","These supple, velvet gloves are the sort that might be thrown down in challenge for a duel or other single combat. By removing a glove and using it to make a melee or ranged touch attack against an opponent, the wearer of the other glove gains a +1 morale bonus on attack rolls against the target, and the target gains a —1 penalty on attack rolls against the wearer. Both of these effects last for 1 minute, but immediately end if anyone but the glove’s wearer attacks the challenged opponent. Both gloves must be worn by the same creature.","2,200 ",1,Faint,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/e-g/gloves-challenger-s
"Shadow Piercings, Chest (Minor)","These excruciating body ornaments come in the form of sharp barbs and serrated rings inserted in the nipples, abdomen, or along the ribs. The pain they cause sharpens the mind and blocks out distractions. The wearer gains a +2 profane bonus on saves against effects that cause the dazed, nauseated, and sickened conditions.","2,200 ",3,Faint,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/r-z/shadow-piercings
Volatile Vaporizer (1st),"This lime green pill is inedible but turns a potion into a cloud of mist that can be shared by multiple creatures. When placed inside a potion flask, the potion bubbles and froths itself into a pungent 10-foot-radius cloud. Any creature within the cloud when it appears gains the full effect of the potion. The cloud has no effect on creatures that cannot breathe. A creature may automatically resist the effects of the potion cloud by momentarily holding its breath. Using the pill destroys it and the potion. Each pill can only be used on potions of a particular spell level; using it on a potion of a different spell level has no effect (neither the potion nor the pill are consumed). The vaporizer also works on alchemist infusions, but not mutagens, extracts, or magical oils.","2,200 ",4,Faint,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/r-z/volatile-vaporizer
Knight's Pennon (Honor),"This narrow cloth flag is made to attach to the end a knight's lance, though it can be flown from a spear, polearm, or even a staff. It has no effect if not mounted appropriately. The gold knight's pennon of honor bestows protection from evil upon the bearer once per day.","2,200 ",6,Moderate,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/h-l/knight-s-pennon
Bones of the Founder,"The bones of the Founder are small, blackened bone fragments, most no more than an inch long, and that radiate a faint, soothing warmth. Each bone grants the bearer 1 temporary hit point. These temporary hit points stack with other temporary hit points gained from possessing multiple bones, but not with those from other sources. These temporary hit points return daily at dawn. There are a total of 32 bones that bear the power of the Founder. In addition to granting temporary hit points, the bearer of one or more of these bones is always aware of the presence of other bones of the Founder within 50 feet. The bones also possess a mild drive to seek out their remaining pieces. Every time a character acquires a bone of the Founder, she must make a Will save (DC 10 + the number of bones of the Founder in her possession). Failure causes the character to have a dream of the Founder that encourages her to seek out the other bones. This dream does not force the character to act, but suggests that seeking the remaining bones would be a benevolent act. Should all 32 bones ever be gathered together, they immediately crumble to dust and release the Founder’s soul to the afterlife, losing all power.","2,250 ",4,Faint,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/a-b/bones-of-founder-raccona
"Crystal, Rhombocrystal","This jewel-like lens slowly changes colors over time. Most owners set it in a metal fixture on a chain and carry it as a pendant, monocle, or loupe. It acts as a magnifying glass and gives you a +5 competence bonus on Appraise checks involving gems and crystals. If Nivi Rhombodazzle is your patron you gain a +1 luck bonus on Reflex saving throws.","2,250 ",1,Faint,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/c-d/crystal-rhombocrystal
